time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-11-14T17:17:53.894Z,-20.1783,-11.0345,10,4.5,mb,18,115,6.55,1.12,us,us7000iqpd,2022-11-18T17:11:49.040Z,"southern Mid-Atlantic Ridge",earthquake,15.19,1.887,0.156,12,reviewed,us,us
2022-11-14T15:24:58.924Z,-19.0599,-171.8823,10,4.8,mb,45,47,2.047,0.63,us,us7000ipmc,2022-11-20T19:36:40.040Z,"226 km E of Neiafu, Tonga",earthquake,6.04,1.505,0.09,39,reviewed,us,us
2022-11-14T15:19:57.561Z,-19.6766,-177.7295,568.436,4.7,mb,63,52,2.796,0.63,us,us7000ipma,2022-11-20T19:29:52.040Z,"Fiji region",earthquake,12.98,9.024,0.073,60,reviewed,us,us
2022-11-14T15:01:52.783Z,-64.0045,-167.8134,10,5.6,mwb,30,134,15.93,0.77,us,us7000ipm8,2022-11-20T19:27:19.340Z,"Pacific-Antarctic Ridge",earthquake,8.41,1.879,0.052,35,reviewed,us,us
2022-11-14T13:27:58.983Z,37.4099,137.2938,12.694,4.6,mb,70,88,1.129,0.53,us,us7000iplv,2022-11-20T18:01:19.040Z,"near the west coast of Honshu, Japan",earthquake,6.23,4.04,0.07,63,reviewed,us,us
2022-11-14T12:39:24.481Z,-26.0129,178.5335,644.05,4.9,mb,45,79,7.498,0.5,us,us7000ipln,2022-11-21T06:32:46.040Z,"south of the Fiji Islands",earthquake,14.82,8.747,0.086,42,reviewed,us,us
2022-11-14T08:08:26.942Z,33.8016,137.2543,357.441,6.1,mww,147,29,1.164,0.62,us,us7000ipkm,2022-11-18T20:00:28.580Z,"84 km SSE of Toba, Japan",earthquake,8.17,4.602,0.071,19,reviewed,us,us
2022-11-14T05:04:11.752Z,-26.0418,178.2262,627.427,6.1,mww,95,43,7.733,1.07,us,us7000ipkb,2022-11-17T00:43:58.986Z,"south of the Fiji Islands",earthquake,10.14,5.701,0.053,34,reviewed,us,us
2022-11-14T04:37:54.800Z,-25.9239,178.4347,630.697,4.6,mb,34,120,7.513,0.65,us,us7000ipk8,2022-11-14T05:32:38.040Z,"south of the Fiji Islands",earthquake,11.04,8.551,0.107,26,reviewed,us,us
2022-11-14T04:20:45.491Z,56.3313,-34.7219,10,4.9,mb,79,74,7.371,0.64,us,us7000ipk4,2022-11-14T04:42:53.040Z,"Reykjanes Ridge",earthquake,10.22,1.888,0.037,233,reviewed,us,us
